level,unit,week,lesson,word,syllables,sounds,definition,example_1,example_2,example_3,non_example,syntax,etymology,word_sums,suffixes,apply,dictation,thumbs
1,1,1,1,hopeful,hope | ful,,"To be hopeful is to be full of hope, which is a feeling that what you want to happen WILL happen.",I am hopeful that I will get my favourite cake for my birthday.,The Fremantle Dockers are hopeful of getting to the finals this year.,The woman was hopeful of getting the job after her interview went well.,"If you know for sure that you’re getting a bike for your birthday because you went to buy it with your parents, you’re not hopeful of getting the bike, because it’s certain. Hopeful is when the outcome isn’t guaranteed but you feel like it could happen.",adjective :: The hopeful child :: asked to eat chocolate for breakfast. || adjective :: The team :: felt winning was hopeless. || verb :: The students :: hoped there was no test today.,"Hope is one of the oldest words in English and originally meant ‘to trust’. || The suffixes –ful and –less have also been in English for a long time. || This means that hopeful and hopeless are considered to be Anglo-Saxon, which is how we describe the first people who spoke English.","hope:to wish that something you want will happen + ful:full of => hopeful || hope:to wish that something you want will happen + less:lacking, not having => hopeless",hope + s:plural || hope + ed:past tense || hope + ing:continuous tense,Would you feel hopeful or hopeless in these situations? || Explain why/why not: || Playing in a grand final against a team you already beat once this year. || Needing it to be hot enough to go to the beach in January. || Planning to buy a new Switch this week when you only have $5. || Being asked to drag an aeroplane along the runway by yourself.,,+ Checking the sky before a carnival because you think the rain might clear. || + Keeping your fingers crossed that your name gets called in the raffle. || - Deciding not to enter the race because you are sure you will come last. || - Feeling worried that nothing will ever go your way.
1,1,1,2,kindness,kind | ness,,Kindness is the quality of being caring or helpful.,My friend showed kindness when she offered to help me clean up my room.,Kindergarten teachers are often known for their kindness.,,"If someone is impatient or rushing while you’re trying to get into a lift, they are not showing kindness.",noun :: Kindness :: is important for friends. || noun :: Nurses :: need kindness. || adjective :: Sharing :: is kinder than keeping things to yourself. || adjective :: The kindest teachers :: are remembered by their students.,"Kind is one of the oldest words in English and originally meant ‘type’ or ‘sort’, and was related to ‘family’. || Kindness is also a very old English word and originally meant ‘the feeling family has for each other’ – which probably means being caring and helpful! || The suffixes –er and –est have also been in English for a long time. They are Anglo-Saxon words and suffixes.","kind:gentle, caring and helpful + ness:quality or state of => kindness || kind + er => kinder || kind + est => kindest",,Example or non-example? || Letting a young child go first on a piece of playground equipment. || Helping someone carry a big load to their car. || Pushing into the line for the canteen. || Leaving the last slice of cake on the table for someone else to clean up. || Leaving the last slice of cake on the table for your brother who will be home from his music lesson soon.,,+ Sitting with someone at lunch who is on their own. || + Carrying a box for a teacher whose hands are full. || - Laughing when someone drops their lunch box. || - Pushing in front of someone in the canteen line.
1,1,1,3,undoing,un | do | ing,,Undoing is the act of reversing something or the cause of failure.,You must wait for the seatbelt sign to switch off before undoing your seatbelt on a plane.,Undoing the knots in your shoelaces helps them to last longer.,"If you don’t study before a test, it might be your undoing – the cause of your failure in the test.","If you break something, you’re not undoing it, because you aren’t reversing how it was put together.",verb :: The man :: was undoing his shoelaces. || noun :: Her undoing :: was her impatience. || verb :: I :: can’t undo the knot. || verb :: She :: undoes the packet. || verb :: The detective :: undid the police tape.,"Do and undo are some of the oldest words in English, and the meaning has stayed the same for all that time. || The reason we say did and does is because that is how different tenses used to be formed in Old English. They are Anglo-Saxon morphemes.","un:opposite of, not              to perform or carry out an action       continuous tense verb + do + ing => undoing",,Build words using morpheme tiles:,,+ Untangling the knot you accidentally tied in the skipping rope. || + Peeling the sticker back off because you put it on crooked. || - Building the next layer of your Lego tower. || - Adding another coat of paint to your artwork.
1,1,1,4,neighbourhood,neigh | bour | hood,,"A neighbourhood is one of the parts of a town where people live, and the people who live there.",Our neighbourhood has a lot of children.,The neighbourhood of our school is called_______________.,Houses in some neighbourhoods cost more than others.,,noun :: The neighbourhood :: is friendly. || noun :: The police :: patrol the neighbourhood. || verb :: Jane’s house :: neighbours the shopping centre. || verb :: The old school :: neighboured the park. || adjective :: The neighbouring houses :: are quite small.,"Neighbour and neighbourhood are some of the oldest words in English, and the meaning has stayed the same for all that time. || They are Anglo-Saxon morphemes.",neighbour:someone who lives nearby + hood:state of being => neighbourhood,,Write sentences using at least two of the words you build.,,"+ The streets, park and shops within walking distance of your house. || + The group of homes where you know some of the families. || - A country on the other side of the world. || - A single bedroom inside one house."
1,1,2,1,tractor,tract | or,,A tractor is a farm vehicle that is used to pull machinery and equipment.,The farmer used a tractor to pull a load of hay to the cow paddock.,Tractors are very helpful when pulling a car that is stuck in mud.,,"A truck might also be used as a farm vehicle and it pulls trailers, but it is not a tractor because it does not pull machinery, like a plough (which digs up and turns over the earth ready for seeding crops) or a thresher (which separates grain from the rest of the plant, like the stalk).",noun :: The tractor :: pulled the plough. || noun :: Farmers :: often use tractors.,"Tractor is of Latin origin, from trahere, meaning ‘to pull or draw’ – draw in the sense of drag along. || Tractor was first used as the name of a device used by ‘quack’ or fraudulent/fake doctors. This device was two metal rods that could just touch a person to cure them!",tract:to pull + or:one who does or makes => tractor,tractor + s:plural,Would a tractor be used for these tasks? || Explain why/why not: || To pull a trailer of hay? || To pull a plough? || To dig a hole for fence posts? || To drag fence posts across the paddock to the hole ? || What might a tractor beam on a spaceship do?,,+ A vehicle towing a trailer of hay across a paddock. || + A machine a farmer drives to pull a plough through soil. || - A scooter you ride to school. || - A shopping trolley you push down an aisle.
1,1,2,2,distract,dis | tract,,To distract is to take attention away from something.,Drivers should not use phones while driving because it will distract them from the road.,I was distracted by watching TV when I should have been cooking and I burned my dinner.,,"If you are sitting staring into space and someone starts talking to you, you haven’t been distracted because your attention wasn’t already on something else.",verb :: The students :: distract the teacher. || verb :: The laser :: distracted the cat. || verb :: The phone :: is distracting the walker.,"Distract is of Latin origin, from distrahere, meaning ‘to draw in different directions’ – draw in the sense of pull. || It was first used in English about 500 years ago, in the mid-1500s.","dis:away, apart + tract:to pull => distract",distract + s || distract + ed || distract + ing || distract + or || distract + s,Example or non-example? || The Sesame Street theme playing over and over again while you’re trying to read. || Someone poking you while you’re eating dinner. || Complete silence during a test. || Listening to music up loud after you’ve finished all your homework and it’s an hour before bedtime. || Listening to music up loud while someone else is trying to talk on the phone.,,+ Tapping your pencil so loudly that nobody can concentrate. || + Waving at your friend through the classroom window during a test. || - Sitting quietly and finishing your own work. || - Putting your phone away so you can focus.
1,1,2,3,retract,re | tract,,To retract is to draw something in or back.,Snails retract their body into their shell to protect themselves against predators.,Many people have a retracting tape measure in their toolbox or sewing kit.,"If a public figure is caught lying, they might retract what they said.","If you close a cupboard door, you are not retracting it, because it is not being drawn or pulled back in.",verb :: The octopuses :: retract their tentacles. || verb :: The cat :: retracted its sharp claws. || adjective :: Retracted turtles :: might be escaping predators. || adjective :: The retracting leash :: got tangled around the dog.,"Retract is of Latin origin, from rectractare, meaning ‘to withdraw’. || It was first used to mean that someone was taking back, or correcting, something that they said before, maybe because they changed their mind or learned new information.","re:back, again + tract:to pull => retract",retract + s || retract + ed || retract + ing || retract + or || retract + s,Write sentences using at least two of the words you build.,,+ A snail pulling its body back inside its shell. || + A cat pulling its claws back in after a stretch. || - A plane's wheels coming down before landing. || - Stretching your arm out as far as it will reach.
1,1,2,4,subtract,sub | tract,,To subtract is to remove something from the whole.,Children learn to add and subtract numbers as soon as they start school.,"When you’re travelling, you might have to subtract items from your suitcase if it’s too heavy!",,"If you divide your clothes into two piles, you are not subtracting your clothes because the whole group is still there, and nothing has been removed.",verb :: Students :: subtract 3 from 4 to get 1. || verb :: 10 :: subtract 7 equals 3.,"Subtract is of Latin origin, from subtrahere, meaning ‘to take away or draw off’. || It has been used in maths since about the 1550s – 500 years ago!",sub:under + tract:to pull => subtract,subtract + s || subtract + ed || subtract + ing || subtract + or || subtract + s,,,+ Taking three apples out of a bowl that had ten. || + Spending $5 of the $20 in your wallet. || - Adding two more chairs to the table. || - Pouring extra water into a full jug.
1,1,3,1,subject,sub | ject,,A subject is something you talk about or study.,My favourite subject is maths.,The subject of the movie was a girl called Elsa.,Swifties love to talk about the subject of Taylor Swift.,"If you are supposed to be talking about life cycles in science, but instead you begin singing ‘Derglumph went the little green frog,’ the song is not the subject and you have gone off-topic.",noun :: The subject :: was tricky.,"Subject is of Latin origin, from subicere, meaning ‘to place under’. || It came to English from French speakers and it was used to describe the people who lived under the control of a King, Queen or other ruler. || When we talk about historic Kings and Queens, we still refer to the people they ruled as subjects.",sub:under + ject:to throw => subject,subject + s:plural,"Would the word subject be used for these examples? || Explain why/why not: || The knowledge that we learn about at school, like maths, science and history? || The people who live in the city ruled by Queen Elsa in Frozen? || Mentioning that you have a cat while talking about your friend’s dog? || Your friend’s dog while talking about their dog’s favourite food, games, and places to visit? || What subject might be good to talk about when you’re meeting someone the same age as you? || What about someone the same age as your parents? Your grandparents? || Which subject at school is your favourite?",,+ The topic your class is learning about this term. || + What a documentary is all about. || - The chair you are sitting on. || - The time on the clock.
1,1,3,2,inject,in | ject,,To inject is to add or put something into something else.,Nurses inject people with vaccinations using needles called syringes.,You could inject a new idea into a conversation by speaking up and adding your thoughts.,Sometimes businesses need to be injected with money to keep running or to be able to attempt a new project.,,verb :: The nurses :: inject people with vaccinations. || verb :: The cream :: was injected into the doughnut. || verb :: The workers :: inject insulation into the roof.,"Inject is of Latin origin, from inicere, meaning ‘to throw in or on’. || It was originally used for medical situations in the same way we use it today to talk about vaccinations or other medicines being given to people using a syringe.","in:in, into, on, upon + ject:to throw => inject",inject + s || inject + ed || inject + ing || inject + s || inject + ed || inject + ing || inject + or || inject + s,Example or non-example? || A printer squirting blue ink onto paper. || The dentist giving you a needle to make your mouth numb. || Your friend poking you in the shoulder. || Being the person who talks the most during a conversation. || Mostly listening during a conversation and then speaking up to suggest a new idea.,,+ A nurse putting medicine into your arm with a needle. || + Squeezing jam into the middle of a doughnut. || - Pouring water out of a bottle onto the grass. || - Taking the batteries out of a remote.
